country,model,first_registration,mileage,fuel_type,price
i,glc 250,03-2017,137516,d,33900
i,glc 220,10-2018,32224,d,28900
i,glc 220,08-2020,165351,d,25700
i,glc 220,08-2017,115000,d,23990
i,glc 220,03-2021,120000,d,42000
i,glc 300,01-2021,70000,d,38900
i,glc 220,07-2023,37568,3,49700
i,glc 250,07-2017,264000,d,20000
i,glc 250,11-2018,86000,d,30900
i,glc 200,06-2020,85480,d,35500
i,glc 220,01-2020,90900,d,34900
i,glc 300,10-2020,22782,3,48900
i,glc 220,12-2024,470,3,69500
i,glc 250,05-2019,190000,d,26000
i,glc 250,11-2016,76243,d,28900
i,glc 220,07-2016,66438,d,26900
i,glc 220,11-2018,129800,d,27900
i,glc 200,01-2020,139000,d,26990
i,glc 250,02-2019,148976,d,29800
d,glc 300,04-2021,106977,3,29950
d,glc 350,12-2018,62534,d,38900
d,glc 300,03-2019,34000,b,40970
d,glc 250,06-2018,69634,b,26990
d,glc 220,03-2019,78000,d,37900
d,glc 300,07-2021,73720,2,42850
d,glc 300,02-2021,152000,b,34990
d,glc 350,03-2017,42529,2,36800
d,glc 220,01-2019,70000,d,32880
d,glc 200,12-2020,143700,d,27750
d,glc 300,09-2021,80650,3,39800
d,glc 300,08-2021,62791,3,36900
d,glc 250,05-2019,27189,b,31900
d,glc 300,10-2021,38609,2,37830
d,glc 300,08-2019,212720,d,26400
d,glc 300,03-2019,37645,b,41480
d,glc 300,09-2021,54436,3,39450
d,glc 300,02-2021,49437,2,43900
d,glc 300,02-2022,61450,3,44300
a,glc 350,04-2018,46700,2,32900
a,glc 220,10-2018,49000,d,41990
a,glc 220,06-2018,95800,d,33499
a,glc 220,11-2017,57238,d,32190
a,glc 220,09-2018,76000,d,34900
a,glc 200,10-2023,9594,b,53990
a,glc 220,05-2017,123000,d,32990
a,glc 220,12-2022,42743,d,49800
a,glc 220,10-2022,27580,d,51900
a,glc 200,09-2019,83000,b,41999
a,glc 220,08-2023,6410,d,59900
a,glc 300,10-2019,46000,b,41999
